127.0.0.1 - - [18/Feb/2022:11:40:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:40:36 +0530] "GET /project_3/ HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:40:36 +0530] "GET /project_3/css/BackGround.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:40:36 +0530] "GET /project_3/image/Gold.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:40:41 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4748
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:40:41 +0530] "GET /project_3/image/rays.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:40:41 +0530] "GET /project_3/image/fea.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:40:48 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6437
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:40:52 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:40:52 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9580
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:40:59 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 16613
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:40:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:42:45 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 16958
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:42:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:42:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:42:50 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18149
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:47:33 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 18409
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:54:01 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18127
